codigo,descricao
0,Fora do Projeto
1,Preparo
1.10000002,Coletar Raster
1.20000005,Raster Coletado
1.39999998,Coletar Vetores
1.79999995,Vetores coletado
2,Adequação Vetorial
3,Edição
3.20000005,Editada
3.4000001,Em 1ª Revisão
3.79999995,1ª Rev Pronta
4,Em Carga BDGEx
4.0999999,MDT Carregado
4.19999981,MDS Carregado
4.4000001,Orto Img Carregada
4.80000019,CDGV Carregados
4.15999985,Carta Orto Imagem
5,Carregada no BDGEx
1.63999999,Aquisição de Hidrografia
1.12800002,Hidrografia Adquirida
1.25600004,Revisão Hidrografia
2.0999999,Em Adequação
2.20000005,Adequação Pronta
2.4000001,Controle de Qualidade
3.0999999,Em Edição
3.16000009,Em 2ª Revisão
1.15999997,Em Ajustes Finais
1.32000005,Preparo Finalizado
